,,,
 First copy final kws from 2nd sheet (seed kws) ,,,
 Then copy  kws from 3rd sheet (Reverse ASIN) and paste below it ,,,
" After that, remove duplicates.. That will be our all kws ",,,
,,,
,,,
,Software,Keywords,MW Search Vol
,MW,gameboy color,10151
,MW,cyrus blue light filter computer glasses,10125
,MW,blban blue light blocking glasses,10104
,MW,simvey blue light blocking glasses,9943
,MW,computer glasses for men,9928
,MW,25 computer glasses,9745
,MW,0.5 computer glasses,9716
,MW,ifhtech blue light blocking glasses,9691
,MW,tjin blue light blocking glasses men,9608
,H10,blue livht blocking glasses for women,9608
,H10,0.50 computer glasses,9426
,H10,cyexus blue light blocking glasses,9345
,H10,umizato computer glasses,9212
,H10,annri blue light blocking glasses women,9188
,H10,uv glasses for computer,9130
,H10,feidu blue light blocking glasses,9040
,H10,wealthyshades blue light blocking glasses,9038
,MW,chemtech computer glasses,8978
,MW,gunner glasses for computer,8924
,MW,e-specs computer glasses,8808
,MW,trifocal reading computer glasses,8731
,MW,glass computer,8725
,MW,tanlys blue light blocking glasses,8722
,MW,jandsvision computer glasses,8704
,MW,gaoye blue light blocking glasses,8662
,MW,mens computer reading glasses,8634
,MW,eyeyee computer reading glasses blue light blocking,8609
,H10,unmagnified computer glasses,8605
,MW,cyxus blue light filter computer glasses for blocking uv headache,8586
,H10,shilded computer glasses,8525
,H10,shielded computer glasses,8522
,H10,tjjn blue light blocking glasses,8376
,MW,efe computer glasses,8256
,MW,blue-blocking glasses women,8229
,H10,men computer glasses,8222
,H10,blue lihgt blocking glasses women,8057
,H10,annri blue light blocking computer glasses,7664
,MW,ifhtech blue light blocking glasses women,7647
,MW,simvey blue light blocking glasses women,7634
,MW,blue lighr blocking glasses,7611
,MW,blue-light blocking glasses 1.50,7587
,MW,gaming computer glasses,7572
,MW,eyekepper computer reading glasses,7462
,H10,computer reading glasses women,7412
,MW,ensarjoe blue light blocking glasses,7370
,MW,1.0x computer glasses,7332
,MW,biorhythm blue blocking glasses,7329
,MW,everscroll computer glasses,7312
,MW,meetsun blue light blocking glasses,7274
,MW,computer glasses case,7250
,MW,eyekepper blue light blocking glasses,7240
,MW,attcl blue light blocking glasses,7224
,MW,blue-blocking glasses men,7209
,MW,kinovision blue light blocking glasses,7200
,MW,0 computer glasses,7137
,MW,hornettek computer glasses,7112
,MW,buteo computer glasses,7044
,MW,75 computer reading glasses,6968
,MW,0.75 computer glasses,6917
,MW,klim gaming glasses,6899
,MW,eye strain computer glasses,6897
